threshold,accuracy,precision,recall,f1,roc_auc,predicted_positive_rate,target_positive_rate,positive_rate_penalty,balanced_score
0.3,0.48065173116089616,0.423444976076555,0.9267015706806283,0.5812807881773399,0.6433333333333333,0.8513238289205702,0.3890020366598778,0.4623217922606924,0.4964553668166355
0.31,0.48879837067209775,0.427536231884058,0.9267015706806283,0.5851239669421487,0.6433333333333333,0.8431771894093686,0.3890020366598778,0.4541751527494908,0.5018755927451097
0.32,0.4847250509164969,0.424390243902439,0.9109947643979057,0.5790349417637272,0.6433333333333333,0.835030549898167,0.3890020366598778,0.44602851323828924,0.49881883717116016
0.33,0.4908350305498982,0.42643391521197005,0.8952879581151832,0.5777027027027027,0.6433333333333333,0.8167006109979633,0.3890020366598778,0.4276985743380855,0.5025284073924654
0.34,0.49287169042769857,0.42676767676767674,0.8848167539267016,0.575809199318569,0.6433333333333333,0.8065173116089613,0.3890020366598778,0.4175152749490835,0.5036302182597195
0.35,0.4989816700610998,0.4289405684754522,0.8691099476439791,0.5743944636678201,0.6433333333333333,0.7881873727087576,0.3890020366598778,0.3991853360488798,0.5073238367144459
0.36,0.5030549898167006,0.4308093994778068,0.8638743455497382,0.5749128919860628,0.6433333333333333,0.780040733197556,0.3890020366598778,0.39103869653767814,0.5099324955916468
0.37,0.5112016293279023,0.4339622641509434,0.8429319371727748,0.5729537366548043,0.6433333333333333,0.7556008146639511,0.3890020366598778,0.3665987780040733,0.5148573933753009
0.38,0.5112016293279023,0.43137254901960786,0.806282722513089,0.5620437956204379,0.6433333333333333,0.7270875763747454,0.3890020366598778,0.3380855397148676,0.5136312663290598
0.39,0.5173116089613035,0.4323529411764706,0.7696335078534031,0.5536723163841808,0.6433333333333333,0.6924643584521385,0.3890020366598778,0.3034623217922607,0.5164001024760071
0.4,0.5274949083503055,0.43843843843843844,0.7643979057591623,0.5572519083969466,0.6433333333333333,0.6782077393075356,0.3890020366598778,0.2892057026476578,0.523251326107283
0.41,0.5356415478615071,0.44200626959247646,0.7382198952879581,0.5529411764705883,0.6433333333333333,0.6496945010183299,0.3890020366598778,0.2606924643584521,0.5278020007063026
0.42,0.5498981670061099,0.4506578947368421,0.7172774869109948,0.5535353535353535,0.6433333333333333,0.6191446028513238,0.3890020366598778,0.23014256619144596,0.5369199317107185
0.43,0.5641547861507128,0.45993031358885017,0.6910994764397905,0.5523012552301255,0.6433333333333333,0.5845213849287169,0.3890020366598778,0.19551934826883904,0.5458673776819611
0.44,0.570264765784114,0.4632352941176471,0.6596858638743456,0.5442764578833693,0.6433333333333333,0.5539714867617108,0.3890020366598778,0.164969450101833,0.5485826793518673
0.45,0.5804480651731161,0.4708171206225681,0.6335078534031413,0.5401785714285714,0.6433333333333333,0.5234215885947047,0.3890020366598778,0.13441955193482685,0.5545257463460315
0.46,0.5967413441955194,0.4854771784232365,0.612565445026178,0.5416666666666666,0.6433333333333333,0.4908350305498982,0.3890020366598778,0.10183299389002037,0.5654738889217534
0.47,0.5987780040733197,0.4868421052631579,0.581151832460733,0.5298329355608592,0.6433333333333333,0.46435845213849286,0.3890020366598778,0.07535641547861505,0.5648290645170836
0.48,0.6008146639511202,0.48847926267281105,0.5549738219895288,0.5196078431372549,0.6433333333333333,0.4419551934826884,0.3890020366598778,0.0529531568228106,0.564367154732598
0.49,0.6089613034623218,0.4975369458128079,0.5287958115183246,0.5126903553299492,0.6433333333333333,0.4134419551934827,0.3890020366598778,0.024439918533604887,0.5685544499718818
0.5,0.6069246435845214,0.4947916666666667,0.4973821989528796,0.4960835509138381,0.6433333333333333,0.3910386965376782,0.3890020366598778,0.002036659877800384,0.5639950354199791
0.51,0.6089613034623218,0.4972067039106145,0.46596858638743455,0.4810810810810811,0.6433333333333333,0.3645621181262729,0.3890020366598778,0.024439918533604887,0.5543343680422406
0.52,0.6252545824847251,0.5212121212121212,0.450261780104712,0.48314606741573035,0.6433333333333333,0.3360488798370672,0.3890020366598778,0.0529531568228106,0.5563377564600163
0.53,0.6374745417515275,0.5414012738853503,0.44502617801047123,0.4885057471264368,0.6433333333333333,0.319755600814664,0.3890020366598778,0.06924643584521384,0.5603377419904799
0.54,0.6476578411405295,0.5608108108108109,0.43455497382198954,0.4896755162241888,0.6433333333333333,0.3014256619144603,0.3890020366598778,0.08757637474541752,0.5614312016519754
0.55,0.6476578411405295,0.5652173913043478,0.4083769633507853,0.47416413373860183,0.6433333333333333,0.28105906313645623,0.3890020366598778,0.10794297352342158,0.5513477568570989
0.56,0.6537678207739308,0.584,0.38219895287958117,0.4620253164556962,0.6433333333333333,0.2545824847250509,0.3890020366598778,0.1344195519348269,0.5439722047915115
0.57,0.659877800407332,0.6016949152542372,0.3717277486910995,0.459546925566343,0.6433333333333333,0.24032586558044808,0.3890020366598778,0.14867617107942974,0.5427704785186199
0.58,0.6537678207739308,0.5963302752293578,0.3403141361256545,0.43333333333333335,0.6433333333333333,0.2219959266802444,0.3890020366598778,0.16700610997963342,0.5264828732188112
0.59,0.6558044806517311,0.6078431372549019,0.32460732984293195,0.4232081911262799,0.6433333333333333,0.20773930753564154,0.3890020366598778,0.18126272912423627,0.52065556186084
0.6,0.6578411405295316,0.6185567010309279,0.31413612565445026,0.4166666666666667,0.6433333333333333,0.1975560081466395,0.3890020366598778,0.1914460285132383,0.5170134088994573
0.61,0.6578411405295316,0.6263736263736264,0.29842931937172773,0.40425531914893614,0.6433333333333333,0.18533604887983707,0.3890020366598778,0.20366598778004075,0.5098767607132991
0.62,0.6558044806517311,0.625,0.2879581151832461,0.3942652329749104,0.6433333333333333,0.17922606924643583,0.3890020366598778,0.20977596741344198,0.5040092812129716
0.63,0.6578411405295316,0.6419753086419753,0.27225130890052357,0.38235294117647056,0.6433333333333333,0.164969450101833,0.3890020366598778,0.2240325865580448,0.4975564674980153
0.64,0.6578411405295316,0.6533333333333333,0.25654450261780104,0.3684210526315789,0.6433333333333333,0.15274949083503056,0.3890020366598778,0.23625254582484725,0.48988762995235074
0.65,0.6578411405295316,0.6666666666666666,0.24083769633507854,0.35384615384615387,0.6433333333333333,0.14052953156822812,0.3890020366598778,0.2484725050916497,0.48199373882249946
0.66,0.6537678207739308,0.6615384615384615,0.225130890052356,0.3359375,0.6433333333333333,0.13238289205702647,0.3890020366598778,0.25661914460285135,0.4719147034824929
0.67,0.6496945010183299,0.6507936507936508,0.21465968586387435,0.3228346456692913,0.6433333333333333,0.12830957230142567,0.3890020366598778,0.26069246435845217,0.4644485901578763
0.68,0.6435845213849287,0.6428571428571429,0.18848167539267016,0.291497975708502,0.6433333333333333,0.11405295315682282,0.3890020366598778,0.274949083503055,0.44729879983832893
0.69,0.6456211812627292,0.660377358490566,0.18324607329842932,0.28688524590163933,0.6433333333333333,0.1079429735234216,0.3890020366598778,0.28105906313645623,0.4452626171903929
0.7,0.6456211812627292,0.6666666666666666,0.17801047120418848,0.2809917355371901,0.6433333333333333,0.10386965376782077,0.3890020366598778,0.28513238289205706,0.44226899637785155
