number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
10,0.5105218917789591,2026-05-11 02:42:33.470304,2026-05-11 02:42:35.314296,0 days 00:00:01.843992,0.7769161988206295,1.243644553469998,0.048199397225124306,2,42,178,15.517248951345037,24.977796202920494,1.2461405084114627,0.7050431132388887,COMPLETE
11,0.522263765532862,2026-05-11 02:42:35.315296,2026-05-11 02:42:37.223376,0 days 00:00:01.908080,0.6405368270843982,0.5271768001171225,0.031646417510105905,2,38,93,10.370828108528267,23.76226157601011,1.1042903723674662,0.7624565307304337,COMPLETE
12,0.5227027878538623,2026-05-11 02:42:37.224371,2026-05-11 02:42:39.040798,0 days 00:00:01.816427,0.7914236438604934,1.186713954496705,0.049573814223408064,2,41,85,10.227748025358647,25.050663132537245,1.0022365024820754,0.7252906488484401,COMPLETE
13,0.5167374578658663,2026-05-11 02:42:39.042806,2026-05-11 02:42:41.131923,0 days 00:00:02.089117,0.6703145367271417,1.1484090878442954,0.0296264981366636,2,32,128,11.324260540165374,26.58773979363548,1.0950735553957547,0.6742713484027132,COMPLETE
14,0.5245357183996988,2026-05-11 02:42:41.132930,2026-05-11 02:42:43.416960,0 days 00:00:02.284030,0.6971141688702392,0.5384621623531993,0.03598981402212811,2,44,149,9.173717192240296,15.127805325804644,1.2117384350260776,0.755118063296673,COMPLETE
15,0.5093754299010503,2026-05-11 02:42:43.418957,2026-05-11 02:42:45.464269,0 days 00:00:02.045312,0.555228391620851,1.6479486251396176,0.02544918542260053,2,44,153,4.025988465974867,15.086995559453054,1.2231087140534511,0.5511850299132725,COMPLETE
16,0.5230435222620892,2026-05-11 02:42:45.466271,2026-05-11 02:42:47.970277,0 days 00:00:02.504006,0.7063363261314397,0.9574712347433566,0.03346636765515574,2,50,179,8.56539714845662,19.874043344891643,1.2984929038768365,0.789253958438798,COMPLETE
17,0.5256512066181686,2026-05-11 02:42:47.971286,2026-05-11 02:42:50.174129,0 days 00:00:02.202843,0.7742587426132667,1.50426596952164,0.04387216110081248,2,45,149,5.864818928795764,20.966144748623957,1.2000895413451143,0.6943820586342877,COMPLETE
18,0.5247760652204145,2026-05-11 02:42:50.176128,2026-05-11 02:42:52.630447,0 days 00:00:02.454319,0.7701691414730155,1.5286605157080235,0.04423767866915257,2,47,166,5.897994279179021,21.491267598288744,1.1508232022843177,0.6976454445929042,COMPLETE
19,0.5156943193335263,2026-05-11 02:42:52.631456,2026-05-11 02:42:55.240238,0 days 00:00:02.608782,0.7965097745455688,3.9784497476739804,0.026684887566684714,2,41,166,5.004216699442276,29.341206106909098,1.1950920447622393,0.6510421885590407,COMPLETE
20,0.45140613618018066,2026-05-11 02:42:55.241249,2026-05-11 02:42:56.617217,0 days 00:00:01.375968,0.7615862283333553,2.06370805295757,0.04440669182228506,1,46,144,6.551009110043535,37.72454458703105,1.135685645022645,0.6957141311213572,PRUNED
21,0.5209046292512555,2026-05-11 02:42:56.618216,2026-05-11 02:42:58.677267,0 days 00:00:02.059051,0.7699483554711283,1.5111216657564028,0.04454439851713306,2,47,166,6.152986945961885,22.313262829378186,1.139913795715203,0.6957223927467109,COMPLETE
22,0.5189130208212664,2026-05-11 02:42:58.678268,2026-05-11 02:43:00.551384,0 days 00:00:01.873116,0.7330105415062319,1.6180795142389992,0.04237336855616402,2,50,169,5.311453520031972,21.036926189887538,1.186708844024532,0.711593072918588,COMPLETE
23,0.531729170825317,2026-05-11 02:43:00.552384,2026-05-11 02:43:02.559001,0 days 00:00:02.006617,0.7998731409593736,0.9375432250088973,0.048528400335597535,2,42,157,4.044942486908785,28.164313416800546,1.1167017679507816,0.681762424133302,COMPLETE
24,0.5217850095146616,2026-05-11 02:43:02.561516,2026-05-11 02:43:04.642180,0 days 00:00:02.080664,0.7938300574802166,0.8678533585717272,0.04918876328491534,2,42,141,4.264052043557357,27.83884016253586,1.0738284558670315,0.6447954426876064,COMPLETE
25,0.5252899526616698,2026-05-11 02:43:04.643173,2026-05-11 02:43:06.540141,0 days 00:00:01.896968,0.7425064993133199,1.2650901530033085,0.04019131128456806,2,35,124,7.2041974836962375,29.808520931821576,1.1213326417344571,0.668964902238513,COMPLETE
26,0.5331139197372367,2026-05-11 02:43:06.542681,2026-05-11 02:43:08.701462,0 days 00:00:02.158781,0.7818047922323662,0.9199975841256253,0.04730511836311332,2,40,155,5.072431549489699,18.398319412249617,1.2754928955756109,0.6826051722632664,COMPLETE
27,0.5275432751823379,2026-05-11 02:43:08.702476,2026-05-11 02:43:10.568535,0 days 00:00:01.866059,0.7987894053274911,0.993115234483414,0.03785245512353902,2,40,158,4.021876446935763,18.08109055719092,1.2807022677216071,0.6452976269438087,COMPLETE
28,0.523550148947037,2026-05-11 02:43:10.570155,2026-05-11 02:43:12.347018,0 days 00:00:01.776863,0.729251044450842,0.77912625983139,0.04684599965186944,2,34,174,5.065493522034976,36.87988575640762,1.3464793694029977,0.6829742746999512,COMPLETE
29,0.5217597859140262,2026-05-11 02:43:12.348023,2026-05-11 02:43:13.469147,0 days 00:00:01.121124,0.7776323289614124,3.21377430543118,0.03450124224730583,2,36,111,4.961247589277148,48.34485983980507,1.294071986064766,0.7217425038959189,PRUNED
30,0.5242935531528672,2026-05-11 02:43:13.470169,2026-05-11 02:43:14.798742,0 days 00:00:01.328573,0.7546916443578278,1.913978921170484,0.01787213811567609,2,39,158,9.228212683815823,26.84906686989749,1.2519717885823256,0.7411291881039044,PRUNED
31,0.5372760371423205,2026-05-11 02:43:14.801266,2026-05-11 02:43:16.906142,0 days 00:00:02.104876,0.7977828790671176,0.9902882044692626,0.037550920251951406,2,39,159,4.130686470602734,17.719225263991664,1.3033841114595253,0.6556060948600411,COMPLETE
32,0.5292777104215167,2026-05-11 02:43:16.907142,2026-05-11 02:43:18.635962,0 days 00:00:01.728820,0.7837706158480656,0.7709841876889182,0.03850296727865301,2,43,117,4.79304582888383,17.001457535525805,1.3216738371819567,0.6561357515944658,COMPLETE
33,0.5250839494016535,2026-05-11 02:43:18.636957,2026-05-11 02:43:19.932308,0 days 00:00:01.295351,0.7877095237385514,0.9947120041488451,0.038986449784576716,2,43,119,7.0280121599456065,16.817995218516987,1.3137691145153014,0.6005085657381062,PRUNED
34,0.5329138688368021,2026-05-11 02:43:19.933308,2026-05-11 02:43:21.766831,0 days 00:00:01.833523,0.7611315463144249,1.2402684514462667,0.0302493697485031,2,39,137,4.456869059925326,19.49520487579664,1.3207558402190804,0.6573650231201852,COMPLETE
35,0.5258904837892852,2026-05-11 02:43:21.767843,2026-05-11 02:43:23.625764,0 days 00:00:01.857921,0.7560721556977322,1.288255433164223,0.031032527762327285,2,39,140,4.498412623468081,20.01715115977307,1.2649555798989167,0.6318730766529571,COMPLETE
36,0.4979229659923281,2026-05-11 02:43:23.627762,2026-05-11 02:43:25.234500,0 days 00:00:01.606738,0.7644016767488196,2.2089498511097005,0.028655766831452427,1,27,133,6.730390650781601,34.90861949538509,1.3249637219750379,0.6808008405171664,PRUNED
37,0.5236565269159628,2026-05-11 02:43:25.235502,2026-05-11 02:43:26.737979,0 days 00:00:01.502477,0.7170070937951822,1.089250598865256,0.024695191211446286,2,33,138,7.987191101099784,23.192986180529,1.2366441500134486,0.5795286501003976,PRUNED
38,0.507748431545342,2026-05-11 02:43:26.740490,2026-05-11 02:43:28.052951,0 days 00:00:01.312461,0.7440709812846014,1.4006743878204313,0.034592870924201394,1,37,160,5.669419666807057,19.12039862961242,1.2722946955638892,0.6669554062710128,PRUNED
39,0.5252358583320884,2026-05-11 02:43:28.053951,2026-05-11 02:43:29.731564,0 days 00:00:01.677613,0.655299576799529,1.791400508935532,0.041419636519566705,2,29,147,4.4504501849359155,41.60618857462028,1.3005353732105909,0.6132737968185833,COMPLETE
