,precision,recall,f1-score,support
0,0.6507936507936508,0.615,0.6323907455012854,400.0
1,0.4460431654676259,0.484375,0.46441947565543074,256.0
accuracy,0.5640243902439024,0.5640243902439024,0.5640243902439024,0.5640243902439024
macro avg,0.5484184081306384,0.5496875,0.5484051105783581,656.0
weighted avg,0.5708910223737387,0.5640243902439024,0.5668409816590007,656.0
