Feature,MI_Score
ph,0.028526863632656996
Hardness,0.02016246219222806
Conductivity,0.013180486437935901
Sulfate,0.0030953291608732947
Organic_carbon,0.0018957011442306548
Turbidity,0.0005895263072637213
Solids,0.0
Chloramines,0.0
Trihalomethanes,0.0
