number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
12,0.5909090909090909,2026-05-10 20:33:06.264432,2026-05-10 20:33:06.780591,0 days 00:00:00.516159,0.7002844989912668,2.1827961067148722,0.009520531471391456,5,8,821,7.455369109398166,7.825863314216419,0.9141490941440477,COMPLETE
13,0.5876777251184834,2026-05-10 20:33:06.780591,2026-05-10 20:33:07.227000,0 days 00:00:00.446409,0.9184839414047248,3.503759566839385,0.005160753410536583,6,7,333,4.112470268310105,9.992562245998318,0.9467582905487111,COMPLETE
14,0.580952380952381,2026-05-10 20:33:07.227000,2026-05-10 20:33:07.806515,0 days 00:00:00.579515,0.8280045424325667,1.661049244595776,0.03445714512806805,10,4,1133,7.069913692832733,6.13185817917373,0.8869234578342623,COMPLETE
15,0.5852895148669797,2026-05-10 20:33:07.806515,2026-05-10 20:33:08.582045,0 days 00:00:00.775530,0.9976435327232848,3.0730200900603415,0.008230149103745426,5,10,568,1.7985092456607599,7.986715809163419,0.8890357168481371,COMPLETE
16,0.5837479270315091,2026-05-10 20:33:08.582552,2026-05-10 20:33:09.142302,0 days 00:00:00.559750,0.9453237773577352,1.981013373536808,0.01401257901014969,7,5,798,8.16154515291041,7.01825480649558,0.9687131659516688,COMPLETE
17,0.5854430379746836,2026-05-10 20:33:09.142302,2026-05-10 20:33:09.617622,0 days 00:00:00.475320,0.8229117943128672,2.914496405840542,0.006303611878277231,5,1,541,6.253706156985364,5.271870490006997,0.8842406850866971,COMPLETE
18,0.583596214511041,2026-05-10 20:33:09.617622,2026-05-10 20:33:10.211274,0 days 00:00:00.593652,0.89889895402743,3.7040184261241627,0.011884886502398365,8,7,1096,4.781853378967504,8.489544114007037,0.8065797958387626,COMPLETE
19,0.5882352941176471,2026-05-10 20:33:10.212241,2026-05-10 20:33:11.783102,0 days 00:00:01.570861,0.956111624566918,1.4534686182641634,0.007421371917403675,11,9,1339,2.6339248550255947,3.393500937692445,0.9914346697790188,COMPLETE
20,0.5871886120996441,2026-05-10 20:33:11.784100,2026-05-10 20:33:12.227100,0 days 00:00:00.443000,0.8664288634824816,4.050986172548776,0.03613428815808867,6,7,757,0.3521610022845252,6.793836023308746,0.7185482227089195,COMPLETE
21,0.5878594249201278,2026-05-10 20:33:12.227100,2026-05-10 20:33:12.728879,0 days 00:00:00.501779,0.7041913274321314,2.3413735256727914,0.010748315210949967,5,8,853,7.5717141990634165,7.738998593379925,0.9089089034711524,COMPLETE
22,0.5856905158069884,2026-05-10 20:33:12.728879,2026-05-10 20:33:13.290969,0 days 00:00:00.562090,0.7087273244888168,2.1865018208647014,0.00912623338441831,4,9,980,6.696378669679261,8.900724831752369,0.9487537385490421,COMPLETE
23,0.5868055555555556,2026-05-10 20:33:13.290969,2026-05-10 20:33:13.789371,0 days 00:00:00.498402,0.724111120807525,2.911692599582461,0.0069892753141021285,5,8,664,8.196229115676621,7.43107703784239,0.9112025904765882,COMPLETE
24,0.5843071786310517,2026-05-10 20:33:13.789371,2026-05-10 20:33:14.374962,0 days 00:00:00.585591,0.7429532342147562,1.8779095095892901,0.016190578445852557,4,7,872,5.909158889033958,6.34819187982547,0.8705691857797958,COMPLETE
25,0.589018302828619,2026-05-10 20:33:14.374962,2026-05-10 20:33:15.163609,0 days 00:00:00.788647,0.8038609644985482,1.1995309363097812,0.009918946498728497,6,5,522,5.384963601034171,5.1705822142232325,0.9322632772620877,COMPLETE
26,0.5848142164781907,2026-05-10 20:33:15.163609,2026-05-10 20:33:16.051733,0 days 00:00:00.888124,0.7001215112146336,2.6115139482611793,0.006507573587911521,8,9,793,4.16152172165968,8.543852088125366,0.9620603327314342,COMPLETE
27,0.5905383360522023,2026-05-10 20:33:16.051733,2026-05-10 20:33:16.781838,0 days 00:00:00.730105,0.7376969574039,2.5017877652556093,0.005080325700869753,5,10,638,8.019445712889322,9.579408448847996,0.9055199178689994,COMPLETE
28,0.5794066317626527,2026-05-10 20:33:16.781838,2026-05-10 20:33:17.148975,0 days 00:00:00.367137,0.9757709547389531,3.2798768533266056,0.027361011288807496,8,7,330,9.988630280121686,8.260379815439755,0.9317827430312249,COMPLETE
29,0.5846645367412141,2026-05-10 20:33:17.149989,2026-05-10 20:33:18.439111,0 days 00:00:01.289122,0.8922312236907172,1.3340414859422505,0.0077498053907370575,7,6,1036,6.8929127355134625,7.025913290842955,0.8139385762101595,COMPLETE
30,0.5837651122625216,2026-05-10 20:33:18.439635,2026-05-10 20:33:19.618776,0 days 00:00:01.179141,0.9152379203245122,2.0084801255686036,0.015133041039886237,4,8,1246,6.496028297866654,0.06100163457190799,0.8616328430936832,COMPLETE
